name,Type,DocId
方伯樑,ego,imh-11-4
鄺孫謀,ego,imh-11-368
黃燿昌,ego,imh-11-259
趙學,ego,imh-11-321
歐陽祺,ego,imh-11-347
陳仲箎,ego,imh-11-192
鄭豪,ego,imh-11-336
李豋輝,ego,imh-11-64
施肇基,ego,imh-11-127
黃憲昭,ego,imh-11-249
伍朝樞,ego,imh-11-46
施肇祥,ego,imh-11-128
曹芳芸,ego,imh-11-272
譚翊,ego,imh-11-389
伍鏡湖,ego,imh-11-47
李奉藻,ego,imh-11-61
孫多鈺,ego,imh-11-174
章宗元,ego,imh-11-229
黃榮良,ego,imh-11-245
黃榮良(夫人),ego,imh-11-246
張凖,ego,imh-11-226
張煜全,ego,imh-11-227
費起鶴,ego,imh-11-285
徐景文,ego,imh-11-141
王建祖,ego,imh-11-8
程子輝,ego,imh-11-282
唐榮禧,ego,imh-11-184
婁裕燾,ego,imh-11-267
楊恩湛,ego,imh-11-308
孫元方,ego,imh-11-175
唐寳桐,ego,imh-11-178
陶德琨,ego,imh-11-271
歐陽月,ego,imh-11-349
李燦基,ego,imh-11-56
陳辛恒,ego,imh-11-213
謝作楷,ego,imh-11-371
朱斯莆,ego,imh-11-34
施贊元,ego,imh-11-129
施振元,ego,imh-11-124
顧維鈞,ego,imh-11-397
孫嘉祿,ego,imh-11-172
陳同壽,ego,imh-11-211
陳煥章,ego,imh-11-194
黃榮輝,ego,imh-11-258
劉景山,ego,imh-11-344
施聯元,ego,imh-11-126
楊文濓,ego,imh-11-317
徐良,ego,imh-11-136
謝學瀛,ego,imh-11-370
胡詒穀,ego,imh-11-118
劉瑞恒,ego,imh-11-345
薩福均,ego,imh-11-377
謝恩隆,ego,imh-11-369
金泰,ego,imh-11-89
陳道原,ego,imh-11-202
陳汝湘,ego,imh-11-195
徐善祥,ego,imh-11-146
李瑞霖,ego,imh-11-71
羅泮忱,ego,imh-11-384
趙天麟,ego,imh-11-319
祝毓瑛,ego,imh-11-148
錢方軾,ego,imh-11-351
黃添福,ego,imh-11-239
卞壽孫,ego,imh-11-3
施厚元,ego,imh-11-130
施調元,ego,imh-11-125
梁啟勳,ego,imh-11-157
張履鼇(夫人),ego,imh-11-220
李翼純,ego,imh-11-65
韓安(夫人),ego,imh-11-375
程其達,ego,imh-11-280
朱成章,ego,imh-11-35
趙國材,ego,imh-11-318
辛耀庠,ego,imh-11-55
韓安,ego,imh-11-374
曹雲祥,ego,imh-11-276
蔡彬懿,ego,imh-11-332
費興仁(夫人),ego,imh-11-287
郭登瀚,ego,imh-11-235
李謙若,ego,imh-11-69
楊豹靈,ego,imh-11-309
譚懷,ego,imh-11-392
張履鼇,ego,imh-11-219
胡章,ego,imh-11-119
朱兆莘,ego,imh-11-27
黃寶楠,ego,imh-11-247
關菁麟,ego,imh-11-382
楊豹靈(夫人),ego,imh-11-310
王百雷,ego,imh-11-20
吳家高,ego,imh-11-85
章祖純,ego,imh-11-228
余日章,ego,imh-11-87
張善揚,ego,imh-11-223
郭健霄,ego,imh-11-236
鄒應藼,ego,imh-11-305
蔡光勩,ego,imh-11-328
周開基,ego,imh-11-96
許翥世,ego,imh-11-261
席德柄,ego,imh-11-151
凌道揚,ego,imh-11-163
孫啟濓,ego,imh-11-168
張寳華,ego,imh-11-221
吳淸度,ego,imh-11-83
王觀英,ego,imh-11-21
王鑑和,ego,imh-11-13
羅惠僑,ego,imh-11-387
裘昌運,ego,imh-11-297
費興仁,ego,imh-11-286
唐悅良,ego,imh-11-182
何杰,ego,imh-11-49
嚴家騶,ego,imh-11-393
朱復,ego,imh-11-28
李鳴龢,ego,imh-11-70
梅貽琦,ego,imh-11-270
王健,ego,imh-11-19
金邦正,ego,imh-11-91
鍾文邦,ego,imh-11-362
陳慶堯,ego,imh-11-196
魏文彬,ego,imh-11-378
張福良,ego,imh-11-215
王仁輔,ego,imh-11-5
袁鍾銓,ego,imh-11-190
尤志邁,ego,imh-11-22
鄭之蕃,ego,imh-11-337
薛永黍,ego,imh-11-373
許宗漢,ego,imh-11-260
沈燕謀,ego,imh-11-79
孫恒,ego,imh-11-171
王紹瀛,ego,imh-11-16
郭守純,ego,imh-11-237
陸元昌,ego,imh-11-264
陳洋讚,ego,imh-11-207
馬名海,ego,imh-11-167
傅驌,ego,imh-11-288
劉寰偉,ego,imh-11-341
張彭春,ego,imh-11-222
徐志薌,ego,imh-11-143
徐志誠,ego,imh-11-145
易鼎新,ego,imh-11-110
沈祖偉,ego,imh-11-78
王松海,ego,imh-11-18
符宗朝,ego,imh-11-232
胡憲生,ego,imh-11-115
諶湛溪,ego,imh-11-357
陳茂康,ego,imh-11-210
李植楡,ego,imh-11-59
殷源之,ego,imh-11-188
程萬里,ego,imh-11-283
錢崇澍,ego,imh-11-353
周逵,ego,imh-11-97
徐可陞,ego,imh-11-144
王正黼,ego,imh-11-6
柴春霖,ego,imh-11-134
譚錫鴻,ego,imh-11-391
陳宗良,ego,imh-11-209
全紹淸,ego,imh-11-43
劉大鈞,ego,imh-11-343
吳致覺,ego,imh-11-86
周倫元,ego,imh-11-100
張景芬,ego,imh-11-217
徐書,ego,imh-11-147
林鑑誠,ego,imh-11-107
梅華銓(夫人),ego,imh-11-269
盧壽汶,ego,imh-11-355
胡昌鶴,ego,imh-11-112
陳明壽,ego,imh-11-212
陸鴻棠,ego,imh-11-265
顧惟精,ego,imh-11-398
沈溯明,ego,imh-11-77
蔡翔,ego,imh-11-330
譚其蓁,ego,imh-11-388
卓鏞詩,ego,imh-11-106
周連錫,ego,imh-11-99
黃敬業,ego,imh-11-252
兪慶恩,ego,imh-11-133
楊奎侯,ego,imh-11-307
陳廷均,ego,imh-11-201
李應南,ego,imh-11-66
何炳松,ego,imh-11-52
胡先驌,ego,imh-11-113
沈寳善,ego,imh-11-76
卞福孫,ego,imh-11-2
李植藩,ego,imh-11-67
馬國驥,ego,imh-11-166
朱彭壽,ego,imh-11-33
顧光賓,ego,imh-11-396
歐陽祺(夫人),ego,imh-11-348
吳紀舜,ego,imh-11-84
姚觀順,ego,imh-11-131
梅華銓,ego,imh-11-268
熊崇志,ego,imh-11-325
張福良(夫人),ego,imh-11-216
李恩富,relative,
伍廷芳,relative,
伍義學,relative,
何蓬洲,relative,
何壽銓,relative,
余日宣,relative,
余文卿,relative,
傅衛卿,relative,
全耀東,relative,
兪慶堯,relative,
兪隷雲,relative,
凌善元,relative,
劉大猷,relative,
劉琳,relative,
劉景春,relative,
劉桐軒,relative,
卓冀堂,relative,
卞綍昌,relative,
王培蓀,relative,
歐陽庚,relative,
吳家煦,relative,
吳業醫,relative,
吳藻章,relative,
周慶禮,relative,
周連中,relative,
周馥,relative,
周業商,relative,
唐仲良,relative,
唐瑞祺,relative,
唐紹儀,relative,
唐紹和,relative,
嚴端巖,relative,
姚啟瑞,relative,
婁裕,relative,
孫多森,relative,
孫冠臣,relative,
孫逢辰,relative,
孫啟忠,relative,
尤先甲,relative,
席裕光,relative,
張承良,relative,
張銘勳,relative,
張立齋,relative,
張伯苓,relative,
張福生,relative,
張錦,relative,
徐可鴻,relative,
徐善慶,relative,
徐景甫,relative,
徐翼周,relative,
徐巽祥,relative,
徐勤,relative,
方伯麟,relative,
施肇曾,relative,
施子英,relative,
施肇英,relative,
易著魁,relative,
曹錫庚,relative,
朱兆燮,relative,
朱珩,relative,
朱彭齡,relative,
朱虞珍,relative,
朱維民,relative,
朱銘敬,relative,
朱丙君,relative,
李贊辰,relative,
李應棠,relative,
李厚貴,relative,
李福疇,relative,
李中和,relative,
李揚庭,relative,
李振鵬,relative,
李登寳,relative,
李登山,relative,
李鳴謙,relative,
林雨亭,relative,
柴暢霖,relative,
梁啓超,relative,
梅炳垣,relative,
梅伯忱,relative,
楊信之,relative,
楊伯屛,relative,
楊文皓,relative,
李伯蓮,relative,
殷孟喬,relative,
沈寳勳,relative,
沈廷琛,relative,
沈鹿岑,relative,
沈瑞麟,relative,
熊淸華,relative,
吳鍾綬,relative,
王海濤,relative,
王仲生,relative,
王鑑明,relative,
王壽林,relative,
王正康,relative,
王正庸,relative,
王正廷,relative,
王遜卿,relative,
王尊莊,relative,
王鍾斌,relative,
盧壽澂,relative,
祝芾,relative,
程靜山,relative,
程建瑞,relative,
程立賢,relative,
符慰祖,relative,
羅松林,relative,
羅忠在,relative,
胡先騏,relative,
胡雨人,relative,
胡鼎梅,relative,
胡詒經,relative,
胡詒芳,relative,
胡永烜,relative,
蔡光勳,relative,
蔡宗謨,relative,
蔡中藩,relative,
薛永岱,relative,
薛永石,relative,
薩鎭冰,relative,
袁鍾祥,relative,
裘葆良,relative,
許斌,relative,
許建世,relative,
許竹林,relative,
諶石勳,relative,
謝卓堂,relative,
謝學濤,relative,
謝欣榮,relative,
謝紹庭,relative,
譚創之,relative,
譚堃,relative,
譚翊卿,relative,
譚選書,relative,
譚安讓,relative,
費起鳳,relative,
趙和君,relative,
趙貢珍,relative,
趙耀誠,relative,
辛仲卿,relative,
郭曜東,relative,
郭詠歸,relative,
郭秀生,relative,
鄒應歡,relative,
鄒嘉來,relative,
鄭慈穀,relative,
鄭育堂,relative,
鄺芹生,relative,
金其昌,relative,
金邦平,relative,
錢光鍔,relative,
錢鑅,relative,
鍾文鰲,relative,
關壽平,relative,
陳省薇,relative,
陳宗賢,relative,
陳紀雲,relative,
陳慶華,relative,
陳汝壽,relative,
陳洋球,relative,
陳大章,relative,
陳茂谷,relative,
陳銘恒,relative,
陳蔭昌,relative,
陶德瑤,relative,
陶際唐,relative,
陸稼軒,relative,
陸梅亭,relative,
章宗祥,relative,
章祖申,relative,
顧鳴歧,relative,
顧桂茂,relative,
顧溶,relative,
馬鶴嶺,relative,
馬伯畬,relative,
魏文仲,relative,
黃世英,relative,
黃紹經,relative,
黃尙文,relative,
黃昂傑,relative,
黃文蘭,relative,
黃瑞勳,relative,
黃燿祺,relative,
